task,id,supporting_rank,rank_bucket,primary_score
qasper,b6f15fb6279b82e34a5bf4828b7b5ddabfdf1d54,8,6-10,85.714300
qasper,f5e6f43454332e0521a778db0b769481e23e7682,1,1,100.000000
qasper,9a05a5f4351db75da371f7ac12eb0b03607c4b87,11,11+,80.000000
qasper,5eda469a8a77f028d0c5f1acd296111085614537,miss,miss,72.222200
qasper,18c5d366b1da8447b5404eab71f4cc658ba12e6f,46,11+,57.142900
qasper,b5e4866f0685299f1d7af267bbcc4afe2aab806f,47,11+,0.000000
qasper,1f085b9bb7bfd0d6c8cba1a9d73f08fcf2da7590,1,1,100.000000
qasper,b6ae8e10c6a0d34c834f18f66ab730b670fb528c,7,6-10,18.604700
qasper,a87a009c242d57c51fc94fe312af5e02070f898b,67,11+,63.636400
qasper,ef4dba073d24042f24886580ae77add5326f2130,miss,miss,51.612900
qasper,2df4a045a9cd7b44874340b6fdf9308d3c55327a,miss,miss,0.000000
qasper,a313e98994fc039a82aa2447c411dda92c65a470,6,6-10,0.000000
qasper,37861be6aecd9242c4fdccdfcd06e48f3f1f8f81,6,6-10,100.000000
qasper,7e62a53823aba08bc26b2812db016f5ce6159565,23,11+,80.000000
qasper,9eabb54c2408dac24f00f92cf1061258c7ea2e1a,23,11+,34.782600
narrative_qa,8cb9a3afd8d542c798c3a34fd1a9afa0a77931c2_0,miss,miss,0.000000
narrative_qa,8cb9a3afd8d542c798c3a34fd1a9afa0a77931c2_1,13,11+,0.000000
narrative_qa,8cb9a3afd8d542c798c3a34fd1a9afa0a77931c2_2,48,11+,0.000000
narrative_qa,8cb9a3afd8d542c798c3a34fd1a9afa0a77931c2_3,miss,miss,0.000000
narrative_qa,8cb9a3afd8d542c798c3a34fd1a9afa0a77931c2_4,miss,miss,0.000000
narrative_qa,8cb9a3afd8d542c798c3a34fd1a9afa0a77931c2_5,3,2-3,100.000000
narrative_qa,8cb9a3afd8d542c798c3a34fd1a9afa0a77931c2_6,miss,miss,0.000000
narrative_qa,8cb9a3afd8d542c798c3a34fd1a9afa0a77931c2_7,miss,miss,0.000000
narrative_qa,8cb9a3afd8d542c798c3a34fd1a9afa0a77931c2_8,69,11+,0.000000
narrative_qa,8cb9a3afd8d542c798c3a34fd1a9afa0a77931c2_9,miss,miss,0.000000
narrative_qa,8cb9a3afd8d542c798c3a34fd1a9afa0a77931c2_10,miss,miss,66.666700
narrative_qa,8cb9a3afd8d542c798c3a34fd1a9afa0a77931c2_11,23,11+,0.000000
narrative_qa,8cb9a3afd8d542c798c3a34fd1a9afa0a77931c2_12,miss,miss,0.000000
narrative_qa,8cb9a3afd8d542c798c3a34fd1a9afa0a77931c2_13,101,11+,0.000000
narrative_qa,8cb9a3afd8d542c798c3a34fd1a9afa0a77931c2_14,miss,miss,5.263200
quality,52845_75VB1ISR_1,miss,miss,100.000000
quality,52845_75VB1ISR_2,miss,miss,0.000000
quality,52845_75VB1ISR_3,miss,miss,0.000000
quality,52845_75VB1ISR_4,miss,miss,0.000000
quality,52845_75VB1ISR_5,miss,miss,100.000000
quality,52845_75VB1ISR_6,miss,miss,100.000000
quality,30029_F5N22U40_1,miss,miss,100.000000
quality,30029_F5N22U40_2,miss,miss,100.000000
quality,30029_F5N22U40_3,miss,miss,0.000000
quality,30029_F5N22U40_4,miss,miss,100.000000
quality,30029_F5N22U40_5,miss,miss,100.000000
quality,30029_F5N22U40_6,miss,miss,0.000000
quality,30029_F5N22U40_7,miss,miss,100.000000
quality,30029_F5N22U40_8,1,1,100.000000
quality,30029_F5N22U40_9,miss,miss,100.000000
contract_nli,3_nda-11,miss,miss,100.000000
contract_nli,3_nda-16,miss,miss,100.000000
contract_nli,3_nda-15,miss,miss,100.000000
contract_nli,3_nda-10,miss,miss,100.000000
contract_nli,3_nda-2,miss,miss,100.000000
contract_nli,3_nda-1,miss,miss,100.000000
contract_nli,3_nda-19,miss,miss,100.000000
contract_nli,3_nda-12,miss,miss,100.000000
contract_nli,3_nda-20,miss,miss,100.000000
contract_nli,3_nda-3,miss,miss,100.000000
contract_nli,3_nda-18,miss,miss,100.000000
contract_nli,3_nda-7,miss,miss,0.000000
contract_nli,3_nda-17,miss,miss,100.000000
contract_nli,3_nda-8,miss,miss,0.000000
contract_nli,3_nda-13,miss,miss,0.000000
