task,id,supporting_rank,rank_bucket,primary_score
qmsum,va-sq-1,miss,miss,0.000000
qmsum,va-sq-2,miss,miss,8.191800
qmsum,va-sq-3,miss,miss,8.875300
qmsum,va-sq-4,miss,miss,6.189600
qmsum,va-gq-5,miss,miss,7.002900
qmsum,va-sq-6,miss,miss,20.165000
qmsum,va-sq-7,miss,miss,18.510400
qmsum,va-sq-8,miss,miss,21.239700
qmsum,va-sq-9,miss,miss,17.079100
qmsum,va-sq-10,miss,miss,19.887400
qmsum,va-sq-11,miss,miss,21.773600
qmsum,va-gq-12,miss,miss,18.283100
qmsum,va-sq-13,miss,miss,16.942700
qmsum,va-sq-14,miss,miss,12.182200
qmsum,va-sq-15,miss,miss,14.767300
qmsum,va-sq-16,miss,miss,18.141400
qmsum,va-sq-17,miss,miss,30.347800
qmsum,va-sq-18,miss,miss,6.634700
qmsum,va-gq-19,miss,miss,14.090700
qmsum,va-sq-20,miss,miss,31.821600
qmsum,va-sq-21,miss,miss,27.407100
qmsum,va-sq-22,miss,miss,22.630400
qmsum,va-sq-23,miss,miss,44.907900
qmsum,va-sq-24,miss,miss,29.338200
qmsum,va-sq-25,miss,miss,18.440500
qmsum,va-sq-26,miss,miss,20.422400
qmsum,va-gq-27,miss,miss,15.593300
qmsum,va-sq-28,miss,miss,15.657500
qmsum,va-sq-29,miss,miss,15.448700
qmsum,va-sq-30,miss,miss,16.680400
qmsum,va-sq-31,miss,miss,9.913800
qmsum,va-sq-32,miss,miss,14.208600
qmsum,va-sq-33,miss,miss,17.132700
qmsum,va-gq-34,miss,miss,18.224600
qmsum,va-sq-35,miss,miss,17.692300
qmsum,va-sq-36,miss,miss,34.375300
qmsum,va-sq-37,miss,miss,30.031500
qmsum,va-sq-38,miss,miss,14.278700
qmsum,va-sq-39,miss,miss,26.192200
qmsum,va-sq-40,miss,miss,17.059500
qmsum,va-sq-41,miss,miss,16.407100
qmsum,va-sq-42,miss,miss,13.779200
qmsum,va-sq-43,miss,miss,14.818000
qmsum,va-gq-44,miss,miss,21.387000
qmsum,va-sq-45,miss,miss,14.716500
qmsum,va-sq-46,miss,miss,8.683300
qmsum,va-sq-47,miss,miss,11.247900
qmsum,va-sq-48,miss,miss,13.516000
qmsum,va-gq-49,miss,miss,17.318700
qmsum,va-sq-50,miss,miss,15.625000
qasper,b6f15fb6279b82e34a5bf4828b7b5ddabfdf1d54,3,2-3,100.000000
qasper,f5e6f43454332e0521a778db0b769481e23e7682,4,4-5,100.000000
qasper,9a05a5f4351db75da371f7ac12eb0b03607c4b87,1,1,80.000000
qasper,5eda469a8a77f028d0c5f1acd296111085614537,miss,miss,72.222200
qasper,18c5d366b1da8447b5404eab71f4cc658ba12e6f,4,4-5,43.750000
qasper,b5e4866f0685299f1d7af267bbcc4afe2aab806f,2,2-3,28.571400
qasper,1f085b9bb7bfd0d6c8cba1a9d73f08fcf2da7590,1,1,100.000000
qasper,b6ae8e10c6a0d34c834f18f66ab730b670fb528c,7,6-10,100.000000
qasper,a87a009c242d57c51fc94fe312af5e02070f898b,12,11+,95.833300
qasper,ef4dba073d24042f24886580ae77add5326f2130,miss,miss,57.142900
qasper,2df4a045a9cd7b44874340b6fdf9308d3c55327a,miss,miss,25.000000
qasper,a313e98994fc039a82aa2447c411dda92c65a470,1,1,0.000000
qasper,37861be6aecd9242c4fdccdfcd06e48f3f1f8f81,16,11+,100.000000
qasper,7e62a53823aba08bc26b2812db016f5ce6159565,2,2-3,80.000000
qasper,9eabb54c2408dac24f00f92cf1061258c7ea2e1a,miss,miss,80.000000
qasper,3d013f15796ae7fed5272183a166c45f16e24e39,11,11+,35.714300
qasper,9ee07edc371e014df686ced4fb0c3a7b9ce3d5dc,1,1,80.000000
qasper,d3aa0449708cc861a51551b128d73e11d62207d2,30,11+,9.523800
qasper,cfbec1ef032ac968560a7c76dec70faf1269b27c,1,1,100.000000
qasper,c0e341c4d2253eb42c8840381b082aae274eddad,3,2-3,0.000000
qasper,1ec152119cf756b16191b236c85522afeed11f59,miss,miss,62.069000
qasper,891c2001d6baaaf0da4e65b647402acac621a7d2,1,1,100.000000
qasper,66c96c297c2cffdf5013bab5e95b59101cb38655,miss,miss,16.216200
qasper,6b53e1f46ae4ba9b75117fc6e593abded89366be,miss,miss,45.454500
qasper,c0bee6539eb6956a7347daa9d2419b367bd02064,2,2-3,0.000000
qasper,3de0487276bb5961586acc6e9f82934ef8cb668c,8,6-10,66.666700
qasper,113d791df6fcfc9cecfb7b1bebaf32cc2e4402ab,2,2-3,33.333300
qasper,0752d71a0a1f73b3482a888313622ce9e9870d6e,1,1,100.000000
qasper,55c8f7acbfd4f5cde634aaecd775b3bb32e9ffa3,1,1,100.000000
qasper,4eaf9787f51cd7cdc45eb85cf223d752328c6ee4,3,2-3,80.000000
qasper,fb2b536dc8e442dffab408db992b971e86548158,miss,miss,0.000000
qasper,31735ec3d83c40b79d11df5c34154849aeb3fb47,1,1,66.666700
qasper,10d450960907091f13e0be55f40bcb96f44dd074,miss,miss,100.000000
qasper,b5608076d91450b0d295ad14c3e3a90d7e168d0e,miss,miss,10.000000
qasper,c21b87c97d1afac85ece2450ee76d01c946de668,4,4-5,100.000000
qasper,d087539e6a38c42f0a521ff2173ef42c0733878e,5,4-5,29.787200
qasper,efe9bad55107a6be7704ed97ecce948a8ca7b1d2,10,6-10,50.000000
qasper,71e4ba4e87e6596aeca187127c0d088df6570c57,miss,miss,0.000000
qasper,7561a968470a8936d10e1ba722d2f38b5a9a4d38,1,1,50.000000
qasper,6d4400f45bd97b812e946b8a682b018826e841f1,miss,miss,41.025600
qasper,26c2e1eb12143d985e4fb50543cf0d1eb4395e67,22,11+,28.571400
qasper,f17ca24b135f9fe6bb25dc5084b13e1637ec7744,1,1,36.363600
qasper,bd5bd1765362c2d972a762ca12675108754aa437,2,2-3,3.252000
qasper,d9b6c61fc6d29ad399d27b931b6cb7b1117b314a,3,2-3,0.000000
qasper,d27438b11bc70e706431dda0af2b1c0b0d209f96,miss,miss,100.000000
qasper,8d4ac4afbf5b14f412171729ceb5e822afcfa3f4,1,1,100.000000
qasper,3c93894c4baf49deacc6ed2a14ef5e0f13b7d96f,1,1,54.545500
qasper,07d15501a599bae7eb4a9ead63e9df3d55b3dc35,5,4-5,7.692300
qasper,99e78c390932594bd833be0f5c890af5c605d808,3,2-3,11.764700
qasper,861187338c5ad445b9acddba8f2c7688785667b1,miss,miss,40.000000
narrative_qa,8cb9a3afd8d542c798c3a34fd1a9afa0a77931c2_0,67,11+,40.000000
