task,id,supporting_rank,rank_bucket,primary_score
qmsum,va-sq-1,miss,miss,10.044800
qmsum,va-sq-2,miss,miss,7.320000
qmsum,va-sq-3,miss,miss,10.043600
qmsum,va-sq-4,miss,miss,4.575000
qmsum,va-gq-5,miss,miss,8.869100
qmsum,va-sq-6,miss,miss,17.430400
qmsum,va-sq-7,miss,miss,20.906000
qmsum,va-sq-8,miss,miss,14.670300
qmsum,va-sq-9,miss,miss,24.468000
qmsum,va-sq-10,miss,miss,20.463300
qmsum,va-sq-11,miss,miss,25.455100
qmsum,va-gq-12,miss,miss,20.156800
qmsum,va-sq-13,miss,miss,22.414400
qmsum,va-sq-14,miss,miss,12.324700
qmsum,va-sq-15,miss,miss,17.700800
qmsum,va-sq-16,miss,miss,12.759000
qmsum,va-sq-17,miss,miss,17.732600
qmsum,va-sq-18,miss,miss,10.060900
qmsum,va-gq-19,miss,miss,14.503300
qmsum,va-sq-20,miss,miss,31.093700
qmsum,va-sq-21,miss,miss,22.012400
qmsum,va-sq-22,miss,miss,23.920500
qmsum,va-sq-23,miss,miss,29.359900
qmsum,va-sq-24,miss,miss,21.775900
qmsum,va-sq-25,miss,miss,14.715900
qmsum,va-sq-26,miss,miss,9.409000
qmsum,va-gq-27,miss,miss,11.545600
qmsum,va-sq-28,miss,miss,15.607700
qmsum,va-sq-29,miss,miss,20.859600
qmsum,va-sq-30,miss,miss,17.722000
qmsum,va-sq-31,miss,miss,10.797400
qmsum,va-sq-32,miss,miss,17.630400
qmsum,va-sq-33,miss,miss,14.174100
qmsum,va-gq-34,miss,miss,16.814600
qmsum,va-sq-35,miss,miss,10.532000
qmsum,va-sq-36,miss,miss,37.568500
qmsum,va-sq-37,miss,miss,21.747600
qmsum,va-sq-38,miss,miss,10.746500
qmsum,va-sq-39,miss,miss,21.728600
qmsum,va-sq-40,miss,miss,11.638900
qmsum,va-sq-41,miss,miss,24.936600
qmsum,va-sq-42,miss,miss,27.157200
qmsum,va-sq-43,miss,miss,17.723500
qmsum,va-gq-44,miss,miss,22.680700
qmsum,va-sq-45,miss,miss,11.681900
qmsum,va-sq-46,miss,miss,5.603100
qmsum,va-sq-47,miss,miss,7.547800
qmsum,va-sq-48,miss,miss,15.040300
qmsum,va-gq-49,miss,miss,15.932100
qmsum,va-sq-50,miss,miss,10.459100
narrative_qa,8cb9a3afd8d542c798c3a34fd1a9afa0a77931c2_0,miss,miss,40.000000
narrative_qa,8cb9a3afd8d542c798c3a34fd1a9afa0a77931c2_1,1,1,0.000000
narrative_qa,8cb9a3afd8d542c798c3a34fd1a9afa0a77931c2_2,miss,miss,0.000000
narrative_qa,8cb9a3afd8d542c798c3a34fd1a9afa0a77931c2_3,miss,miss,0.000000
narrative_qa,8cb9a3afd8d542c798c3a34fd1a9afa0a77931c2_4,miss,miss,0.000000
narrative_qa,8cb9a3afd8d542c798c3a34fd1a9afa0a77931c2_5,miss,miss,0.000000
narrative_qa,8cb9a3afd8d542c798c3a34fd1a9afa0a77931c2_6,miss,miss,0.000000
narrative_qa,8cb9a3afd8d542c798c3a34fd1a9afa0a77931c2_7,miss,miss,0.000000
narrative_qa,8cb9a3afd8d542c798c3a34fd1a9afa0a77931c2_8,miss,miss,0.000000
narrative_qa,8cb9a3afd8d542c798c3a34fd1a9afa0a77931c2_9,miss,miss,0.000000
narrative_qa,8cb9a3afd8d542c798c3a34fd1a9afa0a77931c2_10,1,1,100.000000
narrative_qa,8cb9a3afd8d542c798c3a34fd1a9afa0a77931c2_11,1,1,100.000000
narrative_qa,8cb9a3afd8d542c798c3a34fd1a9afa0a77931c2_12,miss,miss,100.000000
narrative_qa,8cb9a3afd8d542c798c3a34fd1a9afa0a77931c2_13,miss,miss,0.000000
narrative_qa,8cb9a3afd8d542c798c3a34fd1a9afa0a77931c2_14,miss,miss,14.285700
narrative_qa,8cb9a3afd8d542c798c3a34fd1a9afa0a77931c2_15,miss,miss,14.285700
narrative_qa,8cb9a3afd8d542c798c3a34fd1a9afa0a77931c2_16,miss,miss,0.000000
narrative_qa,8cb9a3afd8d542c798c3a34fd1a9afa0a77931c2_17,miss,miss,0.000000
narrative_qa,8cb9a3afd8d542c798c3a34fd1a9afa0a77931c2_18,miss,miss,0.000000
narrative_qa,8cb9a3afd8d542c798c3a34fd1a9afa0a77931c2_19,miss,miss,0.000000
narrative_qa,8cb9a3afd8d542c798c3a34fd1a9afa0a77931c2_20,1,1,0.000000
narrative_qa,8cb9a3afd8d542c798c3a34fd1a9afa0a77931c2_21,1,1,100.000000
narrative_qa,8cb9a3afd8d542c798c3a34fd1a9afa0a77931c2_22,miss,miss,18.181800
narrative_qa,8cb9a3afd8d542c798c3a34fd1a9afa0a77931c2_23,miss,miss,100.000000
narrative_qa,8cb9a3afd8d542c798c3a34fd1a9afa0a77931c2_24,miss,miss,0.000000
narrative_qa,8cb9a3afd8d542c798c3a34fd1a9afa0a77931c2_25,miss,miss,0.000000
narrative_qa,8cb9a3afd8d542c798c3a34fd1a9afa0a77931c2_26,miss,miss,0.000000
narrative_qa,8cb9a3afd8d542c798c3a34fd1a9afa0a77931c2_27,miss,miss,35.294100
narrative_qa,8cb9a3afd8d542c798c3a34fd1a9afa0a77931c2_28,miss,miss,19.047600
narrative_qa,8cb9a3afd8d542c798c3a34fd1a9afa0a77931c2_29,miss,miss,0.000000
narrative_qa,b7ea3185c6be5ea8d603fe5c4c54268c8b42605a_0,miss,miss,0.000000
narrative_qa,b7ea3185c6be5ea8d603fe5c4c54268c8b42605a_1,miss,miss,0.000000
narrative_qa,b7ea3185c6be5ea8d603fe5c4c54268c8b42605a_2,miss,miss,0.000000
narrative_qa,b7ea3185c6be5ea8d603fe5c4c54268c8b42605a_3,miss,miss,0.000000
narrative_qa,b7ea3185c6be5ea8d603fe5c4c54268c8b42605a_4,miss,miss,0.000000
narrative_qa,b7ea3185c6be5ea8d603fe5c4c54268c8b42605a_5,miss,miss,0.000000
narrative_qa,b7ea3185c6be5ea8d603fe5c4c54268c8b42605a_6,miss,miss,0.000000
narrative_qa,b7ea3185c6be5ea8d603fe5c4c54268c8b42605a_7,miss,miss,0.000000
narrative_qa,b7ea3185c6be5ea8d603fe5c4c54268c8b42605a_8,miss,miss,0.000000
narrative_qa,b7ea3185c6be5ea8d603fe5c4c54268c8b42605a_9,miss,miss,0.000000
narrative_qa,b7ea3185c6be5ea8d603fe5c4c54268c8b42605a_10,miss,miss,0.000000
narrative_qa,b7ea3185c6be5ea8d603fe5c4c54268c8b42605a_11,miss,miss,0.000000
narrative_qa,b7ea3185c6be5ea8d603fe5c4c54268c8b42605a_12,miss,miss,0.000000
narrative_qa,b7ea3185c6be5ea8d603fe5c4c54268c8b42605a_13,miss,miss,0.000000
narrative_qa,b7ea3185c6be5ea8d603fe5c4c54268c8b42605a_14,miss,miss,0.000000
narrative_qa,b7ea3185c6be5ea8d603fe5c4c54268c8b42605a_15,miss,miss,0.000000
narrative_qa,b7ea3185c6be5ea8d603fe5c4c54268c8b42605a_16,miss,miss,0.000000
narrative_qa,b7ea3185c6be5ea8d603fe5c4c54268c8b42605a_17,miss,miss,0.000000
narrative_qa,b7ea3185c6be5ea8d603fe5c4c54268c8b42605a_18,miss,miss,0.000000
narrative_qa,b7ea3185c6be5ea8d603fe5c4c54268c8b42605a_19,miss,miss,0.000000
quality,52845_75VB1ISR_1,miss,miss,100.000000
quality,52845_75VB1ISR_2,miss,miss,0.000000
quality,52845_75VB1ISR_3,miss,miss,0.000000
quality,52845_75VB1ISR_4,miss,miss,0.000000
quality,52845_75VB1ISR_5,miss,miss,100.000000
quality,52845_75VB1ISR_6,miss,miss,100.000000
quality,30029_F5N22U40_1,miss,miss,100.000000
quality,30029_F5N22U40_2,miss,miss,0.000000
quality,30029_F5N22U40_3,miss,miss,100.000000
quality,30029_F5N22U40_4,miss,miss,100.000000
quality,30029_F5N22U40_5,miss,miss,100.000000
quality,30029_F5N22U40_6,miss,miss,100.000000
quality,30029_F5N22U40_7,miss,miss,0.000000
quality,30029_F5N22U40_8,miss,miss,0.000000
quality,30029_F5N22U40_9,miss,miss,100.000000
quality,62139_J05FWZR6_1,miss,miss,100.000000
quality,62139_J05FWZR6_2,miss,miss,0.000000
quality,62139_J05FWZR6_3,miss,miss,100.000000
quality,62139_J05FWZR6_4,miss,miss,0.000000
quality,62139_J05FWZR6_5,miss,miss,100.000000
quality,62139_J05FWZR6_6,miss,miss,100.000000
quality,62139_J05FWZR6_7,miss,miss,100.000000
quality,62139_J05FWZR6_8,miss,miss,100.000000
quality,62139_J05FWZR6_9,miss,miss,0.000000
quality,63523_STSHLFEA_1,miss,miss,100.000000
quality,63523_STSHLFEA_2,miss,miss,100.000000
quality,63523_STSHLFEA_3,miss,miss,0.000000
quality,63523_STSHLFEA_4,miss,miss,100.000000
quality,63523_STSHLFEA_5,miss,miss,100.000000
quality,63523_STSHLFEA_6,miss,miss,0.000000
quality,63523_STSHLFEA_7,miss,miss,100.000000
quality,63523_STSHLFEA_8,miss,miss,100.000000
quality,63523_STSHLFEA_9,miss,miss,100.000000
quality,63523_STSHLFEA_10,miss,miss,100.000000
quality,63401_ZCP5ZDGL_1,1,1,100.000000
quality,63401_ZCP5ZDGL_2,miss,miss,100.000000
quality,63401_ZCP5ZDGL_3,miss,miss,100.000000
quality,63401_ZCP5ZDGL_4,miss,miss,100.000000
quality,63401_ZCP5ZDGL_5,miss,miss,0.000000
quality,63401_ZCP5ZDGL_6,miss,miss,100.000000
quality,63401_ZCP5ZDGL_7,miss,miss,100.000000
quality,63401_ZCP5ZDGL_8,miss,miss,100.000000
